total_images,num_classes,fst_model_source,first_model,second_model_source,second_model,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,efficientnet_b0.ra_in1k,0.6655,0.936,0.1670650291005303,0.18978474,timm/mini-imagenet(0)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,efficientnet_b0.ra_in1k,0.6535,0.928,0.15672646759932193,0.17836155,timm/mini-imagenet(1)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,efficientnet_b0.ra_in1k,0.6465,0.928,0.1582974636711614,0.18063152,timm/mini-imagenet(2)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,efficientnet_b0.ra_in1k,0.649,0.938,0.17332407173645858,0.1939201,timm/mini-imagenet(3)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,efficientnet_b0.ra_in1k,0.653,0.936,0.14432536523969838,0.16877457,timm/mini-imagenet(4)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,resnet50.a1_in1k,0.6585,0.9525,0.055688654543412604,0.09135008,timm/mini-imagenet(0)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,resnet50.a1_in1k,0.641,0.953,0.07669934528437938,0.10670661,timm/mini-imagenet(1)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,resnet50.a1_in1k,0.65,0.9565,0.07381087280400368,0.10535335,timm/mini-imagenet(2)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,resnet50.a1_in1k,0.654,0.953,0.04947896631681417,0.08654107,timm/mini-imagenet(3)
2000,100,huggingface,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,timm,resnet50.a1_in1k,0.6565,0.9565,0.08028328562452203,0.11070664,timm/mini-imagenet(4)
2000,100,timm,resnet50.a1_in1k,timm,efficientnet_b0.ra_in1k,0.9545,0.9325,0.1016725324619598,0.349639,timm/mini-imagenet(0)
2000,100,timm,resnet50.a1_in1k,timm,efficientnet_b0.ra_in1k,0.953,0.93,0.1016725324619598,0.349639,timm/mini-imagenet(0)
2000,100,timm,resnet50.a1_in1k,timm,efficientnet_b0.ra_in1k,0.9515,0.935,0.1016725324619598,0.349639,timm/mini-imagenet(0)
2000,100,timm,resnet50.a1_in1k,timm,efficientnet_b0.ra_in1k,0.952,0.934,0.1016725324619598,0.349639,timm/mini-imagenet(0)
2000,100,timm,resnet50.a1_in1k,timm,efficientnet_b0.ra_in1k,0.954,0.9425,0.1016725324619598,0.349639,timm/mini-imagenet(0)
2000,100,timm,resnet50.a1_in1k,timm,efficientnet_b0.ra_in1k,0.954,0.9285,0.11122318617643936,0.3532042,timm/mini-imagenet(1)
2000,100,timm,resnet50.a1_in1k,timm,efficientnet_b0.ra_in1k,0.95,0.931,0.11122318617643936,0.3532042,timm/mini-imagenet(1)
2000,100,open_clip,ViT-B-32,timm,efficientnet_b0.ra_in1k,0.8875,0.933,0.07350656053031505,0.21451457,timm/mini-imagenet(0)
2000,100,open_clip,ViT-B-32,timm,efficientnet_b0.ra_in1k,0.8825,0.9295,0.07238956471783681,0.21045849,timm/mini-imagenet(1)
2000,100,open_clip,ViT-B-32,timm,efficientnet_b0.ra_in1k,0.884,0.9295,0.0830780858459602,0.22014436,timm/mini-imagenet(2)
2000,100,open_clip,ViT-B-32,timm,efficientnet_b0.ra_in1k,0.8895,0.9315,0.06562559812919859,0.20499142,timm/mini-imagenet(3)
2000,100,open_clip,ViT-B-32,timm,efficientnet_b0.ra_in1k,0.885,0.9325,0.08162769118466023,0.21458237,timm/mini-imagenet(4)
2000,100,timm,resnet50.a1_in1k,open_clip,ViT-B-32,0.951,0.8905,0.23048828735596924,0.3442464,timm/mini-imagenet(0)
2000,100,timm,resnet50.a1_in1k,open_clip,ViT-B-32,0.9555,0.8825,0.23897677667192108,0.35013396,timm/mini-imagenet(1)
2000,100,timm,resnet50.a1_in1k,open_clip,ViT-B-32,0.9545,0.883,0.2220552136652199,0.33476505,timm/mini-imagenet(2)
2000,100,timm,resnet50.a1_in1k,open_clip,ViT-B-32,0.951,0.8885,0.2380479543134047,0.34964883,timm/mini-imagenet(3)
2000,100,timm,resnet50.a1_in1k,open_clip,ViT-B-32,0.9555,0.885,0.22824976091287755,0.3379578,timm/mini-imagenet(4)
2000,100,clip,ViT-B/32,timm,efficientnet_b0.ra_in1k,0.869,0.9365,0.049293211482011434,0.16661371,timm/mini-imagenet(0)
2000,100,clip,ViT-B/32,timm,efficientnet_b0.ra_in1k,0.8605,0.9295,0.037866035275232635,0.15532589,timm/mini-imagenet(1)
2000,100,clip,ViT-B/32,timm,efficientnet_b0.ra_in1k,0.8625,0.9305,0.05498288073574978,0.17094898,timm/mini-imagenet(2)
2000,100,clip,ViT-B/32,timm,efficientnet_b0.ra_in1k,0.8715,0.9355,0.04395402877275077,0.16449267,timm/mini-imagenet(3)
2000,100,clip,ViT-B/32,timm,efficientnet_b0.ra_in1k,0.8765,0.9355,0.03139554306826286,0.1502185,timm/mini-imagenet(4)

2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,resnet50,IMAGENET1K_V1,0.76,0.86,0.848878592348392,0.86435795,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,resnet152,IMAGENET1K_V1,0.792,0.891,0.8199417138092849,0.83899254,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,convnext_tiny,IMAGENET1K_V1,0.7875,0.949,0.25153032030359646,0.37070537,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,convnext_base,IMAGENET1K_V1,0.7375,0.9825,0.1463355276564968,0.30893195,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.7715,0.9135,0.7782934963654725,0.7980787,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.7695,0.9795,0.7782934963654725,0.7980787,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.7715,0.9325,0.7782934963654725,0.7980787,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.778,0.97,0.2958340002394824,0.4119101,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_V1,0.782,0.9605,0.022595895992420283,0.21885253,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.776,0.9485,0.022595895992420283,0.21885253,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,vit_l_16,IMAGENET1K_V1,0.78,0.9895,0.015206996688050868,0.24728748,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.785,0.9635,0.3122870809656246,0.40300515,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,swin_t,IMAGENET1K_V1,0.774,0.94,0.0743427687518788,0.25993657,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,swin_v2_t,IMAGENET1K_V1,0.773,0.9545,0.19386907773991,0.35422954,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,maxvit_t,IMAGENET1K_V1,0.754,0.9795,0.10641585588811929,0.10691993,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,efficientnet_b0,IMAGENET1K_V1,0.764,0.8995,0.1698726308675066,0.33253208,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,efficientnet_b4,IMAGENET1K_V1,0.779,0.938,0.08408708684420829,0.17572328,timm/mini-imagenet(0)
2000,100,torchvision,resnet18,IMAGENET1K_V1,torchvision,efficientnet_b7,IMAGENET1K_V1,0.7955,0.928,0.11613828210029242,0.25478438,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,resnet152,IMAGENET1K_V1,0.86,0.8965,0.8716095926816396,0.8906046,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,convnext_tiny,IMAGENET1K_V1,0.86,0.9605,0.2755980122998851,0.41476247,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,convnext_base,IMAGENET1K_V1,0.8515,0.9805,0.17246374140746665,0.36068714,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.8715,0.9245,0.8252557507254457,0.84774995,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.8385,0.979,0.8252557507254457,0.84774995,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.8675,0.904,0.8252557507254457,0.84774995,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.869,0.972,0.3373306939258149,0.4706372,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_V1,0.861,0.9635,0.02972830557596218,0.25837442,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.838,0.9435,0.02972830557596218,0.25837442,timm/mini-imagenet(0)
2000,100,torchvision,resnet50,IMAGENET1K_V1,torchvision,vit_l_16,IMAGENET1K_V1,0.856,0.988,0.01955025643164845,0.28940466,timm/mini-imagenet(0)
