nome, url, hf_hub_id, arquitetura, num_param, escala, tipo_treinamento, dataset
beitv2_large_patch16_224.in1k_ft_in22k_in1k,,timm/beitv2_large_patch16_224.in1k_ft_in22k_in1k,beitv2_large_patch16_224,304430568,giant,TRAINING_TYPE,ImageNet-1K
botnet26t_256.c1_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-attn-weights/botnet26t_c1_256-167a0e9f.pth,timm/botnet26t_256.c1_in1k,botnet26t_256,12488672,small,TRAINING_TYPE,ImageNet-1K
caformer_b36.sail_in1k,,timm/caformer_b36.sail_in1k,caformer_b36,98753614,base,TRAINING_TYPE,ImageNet-1K
caformer_b36.sail_in1k_384,,timm/caformer_b36.sail_in1k_384,caformer_b36,98753614,base,TRAINING_TYPE,ImageNet-1K
caformer_b36.sail_in22k,,timm/caformer_b36.sail_in22k,caformer_b36,162798007,large,TRAINING_TYPE,DATASET
caformer_b36.sail_in22k_ft_in1k,,timm/caformer_b36.sail_in22k_ft_in1k,caformer_b36,98753614,base,TRAINING_TYPE,ImageNet-1K
caformer_b36.sail_in22k_ft_in1k_384,,timm/caformer_b36.sail_in22k_ft_in1k_384,caformer_b36,98753614,base,TRAINING_TYPE,ImageNet-1K
caformer_m36.sail_in1k,,timm/caformer_m36.sail_in1k,caformer_m36,56204878,base,TRAINING_TYPE,ImageNet-1K
caformer_m36.sail_in1k_384,,timm/caformer_m36.sail_in1k_384,caformer_m36,56204878,base,TRAINING_TYPE,ImageNet-1K
caformer_m36.sail_in22k,,timm/caformer_m36.sail_in22k,caformer_m36,104243383,large,TRAINING_TYPE,DATASET
caformer_m36.sail_in22k_ft_in1k,,timm/caformer_m36.sail_in22k_ft_in1k,caformer_m36,56204878,base,TRAINING_TYPE,ImageNet-1K
caformer_m36.sail_in22k_ft_in1k_384,,timm/caformer_m36.sail_in22k_ft_in1k_384,caformer_m36,56204878,base,TRAINING_TYPE,ImageNet-1K
caformer_s18.sail_in1k,,timm/caformer_s18.sail_in1k,caformer_s18,26341656,small,TRAINING_TYPE,ImageNet-1K
caformer_s18.sail_in1k_384,,timm/caformer_s18.sail_in1k_384,caformer_s18,26341656,small,TRAINING_TYPE,ImageNet-1K
caformer_s18.sail_in22k,,timm/caformer_s18.sail_in22k,caformer_s18,69044865,base,TRAINING_TYPE,DATASET
caformer_s18.sail_in22k_ft_in1k,,timm/caformer_s18.sail_in22k_ft_in1k,caformer_s18,26341656,small,TRAINING_TYPE,ImageNet-1K
caformer_s18.sail_in22k_ft_in1k_384,,timm/caformer_s18.sail_in22k_ft_in1k_384,caformer_s18,26341656,small,TRAINING_TYPE,ImageNet-1K
caformer_s36.sail_in1k,,timm/caformer_s36.sail_in1k,caformer_s36,39297102,base,TRAINING_TYPE,ImageNet-1K
caformer_s36.sail_in1k_384,,timm/caformer_s36.sail_in1k_384,caformer_s36,39297102,base,TRAINING_TYPE,ImageNet-1K
caformer_s36.sail_in22k,,timm/caformer_s36.sail_in22k,caformer_s36,82000311,base,TRAINING_TYPE,DATASET
caformer_s36.sail_in22k_ft_in1k,,timm/caformer_s36.sail_in22k_ft_in1k,caformer_s36,39297102,base,TRAINING_TYPE,ImageNet-1K
caformer_s36.sail_in22k_ft_in1k_384,,timm/caformer_s36.sail_in22k_ft_in1k_384,caformer_s36,39297102,base,TRAINING_TYPE,ImageNet-1K
cait_m36_384.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/M36_384.pth,timm/cait_m36_384.fb_dist_in1k,cait_m36_384,271221352,large,TRAINING_TYPE,ImageNet-1K
cait_m48_448.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/M48_448.pth,timm/cait_m48_448.fb_dist_in1k,cait_m48_448,356460520,giant,TRAINING_TYPE,ImageNet-1K
cait_s24_224.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/S24_224.pth,timm/cait_s24_224.fb_dist_in1k,cait_s24_224,46916200,base,TRAINING_TYPE,ImageNet-1K
cait_s24_384.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/S24_384.pth,timm/cait_s24_384.fb_dist_in1k,cait_s24_384,47062120,base,TRAINING_TYPE,ImageNet-1K
cait_s36_384.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/S36_384.pth,timm/cait_s36_384.fb_dist_in1k,cait_s36_384,68366632,base,TRAINING_TYPE,ImageNet-1K
cait_xs24_384.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/XS24_384.pth,timm/cait_xs24_384.fb_dist_in1k,cait_xs24_384,26670088,small,TRAINING_TYPE,ImageNet-1K
cait_xxs24_224.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/XXS24_224.pth,timm/cait_xxs24_224.fb_dist_in1k,cait_xxs24_224,11956264,small,TRAINING_TYPE,ImageNet-1K
cait_xxs24_384.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/XXS24_384.pth,timm/cait_xxs24_384.fb_dist_in1k,cait_xxs24_384,12029224,small,TRAINING_TYPE,ImageNet-1K
cait_xxs36_224.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/XXS36_224.pth,timm/cait_xxs36_224.fb_dist_in1k,cait_xxs36_224,17299720,small,TRAINING_TYPE,ImageNet-1K
cait_xxs36_384.fb_dist_in1k,https://dl.fbaipublicfiles.com/deit/XXS36_384.pth,timm/cait_xxs36_384.fb_dist_in1k,cait_xxs36_384,17372680,small,TRAINING_TYPE,ImageNet-1K
coat_lite_medium.in1k,,timm/coat_lite_medium.in1k,coat_lite_medium,44571048,base,TRAINING_TYPE,ImageNet-1K
coat_lite_medium_384.in1k,,timm/coat_lite_medium_384.in1k,coat_lite_medium_384,44571048,base,TRAINING_TYPE,ImageNet-1K
coat_lite_mini.in1k,,timm/coat_lite_mini.in1k,coat_lite_mini,11011560,small,TRAINING_TYPE,ImageNet-1K
coat_lite_small.in1k,,timm/coat_lite_small.in1k,coat_lite_small,19838504,small,TRAINING_TYPE,ImageNet-1K
coat_lite_tiny.in1k,,timm/coat_lite_tiny.in1k,coat_lite_tiny,5721960,tiny,TRAINING_TYPE,ImageNet-1K
coat_mini.in1k,,timm/coat_mini.in1k,coat_mini,10337004,small,TRAINING_TYPE,ImageNet-1K
coat_small.in1k,,timm/coat_small.in1k,coat_small,21693908,small,TRAINING_TYPE,ImageNet-1K
coat_tiny.in1k,,timm/coat_tiny.in1k,coat_tiny,5498540,tiny,TRAINING_TYPE,ImageNet-1K
coatnet_0_rw_224.sw_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights-maxx/coatnet_0_rw_224_sw-a6439706.pth,timm/coatnet_0_rw_224.sw_in1k,coatnet_0_rw_224,27435562,small,TRAINING_TYPE,ImageNet-1K
coatnet_1_rw_224.sw_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights-maxx/coatnet_1_rw_224_sw-5cae1ea8.pth,timm/coatnet_1_rw_224.sw_in1k,coatnet_1_rw_224,41721502,base,TRAINING_TYPE,ImageNet-1K
coatnet_2_rw_224.sw_in12k,,timm/coatnet_2_rw_224.sw_in12k,coatnet_2_rw_224,84959925,base,TRAINING_TYPE,DATASET
coatnet_2_rw_224.sw_in12k_ft_in1k,,timm/coatnet_2_rw_224.sw_in12k_ft_in1k,coatnet_2_rw_224,73868400,base,TRAINING_TYPE,ImageNet-1K
coatnet_3_rw_224.sw_in12k,,timm/coatnet_3_rw_224.sw_in12k,coatnet_3_rw_224,181805305,large,TRAINING_TYPE,DATASET
coatnet_bn_0_rw_224.sw_in1k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights-maxx/coatnet_bn_0_rw_224_sw-c228e218.pth,timm/coatnet_bn_0_rw_224.sw_in1k,coatnet_bn_0_rw_224,27435562,small,TRAINING_TYPE,ImageNet-1K
